gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
yhhQ											0.033002537841583336	2.0	-1.0950435119932669	0.03335560553245613	-1.0950435119932669	0.29942958734538877	-3.6570985576323363	0.00025508631843978205	2.0	0.000494440944892811
yhhS	8.765672894973962e-08	2.0	0.6629997429109256	1.5013546128625614e-06	0.6629997429109256	0.12714185238703152	5.214645928648996	1.841686714928275e-07	2.0	2.338419251604513e-07	2.3429986111009706e-18	4.0	-3.3266052281612035	5.303508835972562e-18	-3.3266052281612035	1.3927889283064083	-2.3884489318896733	0.016919659616084368	4.0	0.022921350196884106
yhjA	0.0034038973993558157	2.0	0.49552205401471705	0.005918223340132681	0.49552205401471705	0.001182849515549311	418.92231217983664	0.0	2.0	0.0	0.0001980511070529029	3.0	-0.7344208517043894	0.00023220231035921666	-0.7344208517043894	0.057987836576798214	-12.66508452564416	9.232087317834907e-37	3.0	1.2096056011323836e-35
yhjG											1.16382600203866e-06	5.0	-0.8499291721952357	1.552056221143681e-06	-0.8499291721952357	0.17949396710844165	-4.73514060604471	2.189032858556509e-06	5.0	5.503240869900466e-06
yhjV											0.002277893065484917	2.0	-1.0523659341389853	0.002469093026899412	-1.0523659341389853	0.12496694060712354	-8.421154659194697	3.7279175608845866e-17	2.0	2.0717065082934468e-16
yiaC											0.008447535454160571	2.0	-1.8135885824934146	0.008846748039800598	-1.8135885824934146	0.6515378595427496	-2.7835505733560812	0.005376747942379055	2.0	0.008179036064890174
yiaK	0.033999854829780234	3.0	0.40038727624836423	0.03625150084499747	0.40038727624836423	0.06323357889478688	6.331877512651321	2.4219572975915794e-10	3.0	3.5003153044187096e-10	7.761539535019968e-32	2.0	-1.4557016467665789	2.7697740487794913e-31	-1.4557016467665789	0.5877325557847484	-2.476809617637918	0.013256259165666471	2.0	0.018546364148379825
yiaY											6.216219888052665e-06	2.0	-1.6700483149141367	7.987197350790647e-06	-1.6700483149141367	0.3373819755245584	-4.950022336900366	7.420496455264827e-07	2.0	1.967472841536243e-06
yibJ	0.012192427365645882	2.0	0.6380398340529303	0.015809455951200008	0.6380398340529303	0.039677652039800386	16.080584441158887	3.490702285303466e-58	2.0	1.5875792879487518e-57	9.023013162909364e-08	4.0	-1.7897001194761832	1.2783195443900796e-07	-1.7897001194761832	0.4043770179086398	-4.4258205590717505	9.60763659055052e-06	4.0	2.2751593245432958e-05
yicI											1.431490782847851e-90	3.0	-2.4196432034437914	3.252564500268219e-89	-2.4196432034437914	0.8532675378812778	-2.8357380259091216	0.004571993183619141	3.0	0.0070625884376904965
